Item,Qty,Cost (USD),Purchase Link
20 × 22 × 330 mm Carbon Fiber Rod,1,12.89,https://a.co/d/0fRC7tl8
10 × 12 × 600 mm Carbon Fiber Rod (2 pc),1,21.98,https://a.co/d/04wYlLzz
KM1203MD Servo (2 pc pack),2,56.50,https://a.co/d/04CT49QQ
3 mm Bushing,2,6.97,https://a.co/d/00eb9Lxp
5 in. Propeller (20 pc pack),3,19.99,https://a.co/d/0d9hmukg
RS2205 2300 kV Motor (4 pc pack),3,36.99,https://a.co/d/0gNAh0BJ
FS-iA6B Receiver,1,17.99,https://a.co/d/01dz03wv
AERO SELFIE 4-in-1 45A ESC,1,32.90,https://a.co/d/0g2pQsMn
MG90S Servo,4,13.88,https://a.co/d/0epTO13h
Teensy 4.0,1,24.60,https://a.co/d/04LAZwGB
MPU6050 9-axis IMU,1,6.99,https://a.co/d/0g5Ldqw0
Ovonic 4S 1300 mAh LiPo Battery,1,18.99,https://a.co/d/0c603tkp
1 kg LW-PLA,1,24.99,https://a.co/d/0acjByZF
1 kg PLA,1,11.99,https://a.co/d/025aT8S4
M3×6 Button Head Screw,8,9.99,https://a.co/d/0h7R8a6U
M3×8 Button Head Screw,6,,
M3×14 Button Head Screw,2,,
M3 Nut,2,,
M4×16 Socket Head Screw,4,8.99,https://a.co/d/0cEMfsPs
M4×30 Button Head Screw,1,,
M4 Nut,5,,
